;Lead_time: 0;Lead_time: 1;Lead_time: 3;Lead_time: 6
1;{'Modelname': 'LSTM', 'CESM_MSE': 0.665747629028165, 'CESM_Correlation': 0.6409894930984571, 'FOCI_MSE': 0.5008587809668362, 'FOCI_Correlation': 0.6125549496952977};{'Modelname': 'LSTM', 'CESM_MSE': 0.9216054064486172, 'CESM_Correlation': 0.4287082125454857, 'FOCI_MSE': 0.7274349768610958, 'FOCI_Correlation': 0.3117564581364274};{'Modelname': 'LSTM', 'CESM_MSE': 0.9317218755961738, 'CESM_Correlation': 0.42502870948313276, 'FOCI_MSE': 0.7548254675528178, 'FOCI_Correlation': 0.24688849136476682};{'Modelname': 'LSTM', 'CESM_MSE': 0.9857510420977919, 'CESM_Correlation': 0.36338820075263467, 'FOCI_MSE': 0.7940454710002192, 'FOCI_Correlation': 0.15176574986651653}
2;{'Modelname': 'LSTM', 'CESM_MSE': 0.6685682138056885, 'CESM_Correlation': 0.6403174832714235, 'FOCI_MSE': 0.508386768357383, 'FOCI_Correlation': 0.609774217282868};{'Modelname': 'LSTM', 'CESM_MSE': 0.9104318841998118, 'CESM_Correlation': 0.44031740389846846, 'FOCI_MSE': 0.7420171499268782, 'FOCI_Correlation': 0.274894167478194};{'Modelname': 'LSTM', 'CESM_MSE': 0.9563299460844815, 'CESM_Correlation': 0.39759880316851426, 'FOCI_MSE': 0.7410442419992855, 'FOCI_Correlation': 0.28756389662612075};{'Modelname': 'LSTM', 'CESM_MSE': 0.9958191834035113, 'CESM_Correlation': 0.3527966934333946, 'FOCI_MSE': 0.7876222300081349, 'FOCI_Correlation': 0.15692843570457005}
3;{'Modelname': 'LSTM', 'CESM_MSE': 0.6950301245502615, 'CESM_Correlation': 0.623088348669107, 'FOCI_MSE': 0.5037589533668443, 'FOCI_Correlation': 0.6121761322043324};{'Modelname': 'LSTM', 'CESM_MSE': 0.9226594996912498, 'CESM_Correlation': 0.4306870643652271, 'FOCI_MSE': 0.7232251436896653, 'FOCI_Correlation': 0.3233642025512074};{'Modelname': 'LSTM', 'CESM_MSE': 0.9596601772474644, 'CESM_Correlation': 0.3979666672858317, 'FOCI_MSE': 0.7545209392001272, 'FOCI_Correlation': 0.25173727546654845};{'Modelname': 'LSTM', 'CESM_MSE': 1.0145468154031552, 'CESM_Correlation': 0.3359897732451845, 'FOCI_MSE': 0.7794772382999868, 'FOCI_Correlation': 0.1827448362369179}
4;{'Modelname': 'LSTM', 'CESM_MSE': 0.6741107633550318, 'CESM_Correlation': 0.6396865969668506, 'FOCI_MSE': 0.4974855759032648, 'FOCI_Correlation': 0.6174718587386255};{'Modelname': 'LSTM', 'CESM_MSE': 0.9164843967810408, 'CESM_Correlation': 0.4401178282898486, 'FOCI_MSE': 0.7164175097488092, 'FOCI_Correlation': 0.3338545794045552};{'Modelname': 'LSTM', 'CESM_MSE': 0.9329098007019113, 'CESM_Correlation': 0.4265027572151921, 'FOCI_MSE': 0.7556603717399619, 'FOCI_Correlation': 0.26001763992948623};{'Modelname': 'LSTM', 'CESM_MSE': 0.9976774605632626, 'CESM_Correlation': 0.34632118845687015, 'FOCI_MSE': 0.7862065441459622, 'FOCI_Correlation': 0.150855935696106}
5;{'Modelname': 'LSTM', 'CESM_MSE': 0.6888625863675848, 'CESM_Correlation': 0.6271983930571905, 'FOCI_MSE': 0.5095589577057446, 'FOCI_Correlation': 0.6088040935770289};{'Modelname': 'LSTM', 'CESM_MSE': 0.9356359641023172, 'CESM_Correlation': 0.42904935847038617, 'FOCI_MSE': 0.7183058722880861, 'FOCI_Correlation': 0.33421422393405786};{'Modelname': 'LSTM', 'CESM_MSE': 0.9522453014901865, 'CESM_Correlation': 0.41000132210372214, 'FOCI_MSE': 0.744552344512138, 'FOCI_Correlation': 0.27451948059401715};{'Modelname': 'LSTM', 'CESM_MSE': 1.0032630961155755, 'CESM_Correlation': 0.3387730381318733, 'FOCI_MSE': 0.7879728723913002, 'FOCI_Correlation': 0.16917183866454272}
6;{'Modelname': 'LSTM', 'CESM_MSE': 0.6834409566949927, 'CESM_Correlation': 0.6346457911135651, 'FOCI_MSE': 0.4936309979909017, 'FOCI_Correlation': 0.6218345504798368};{'Modelname': 'LSTM', 'CESM_MSE': 0.9051370992185647, 'CESM_Correlation': 0.4485074043484621, 'FOCI_MSE': 0.7303659025103856, 'FOCI_Correlation': 0.3046581044747655};{'Modelname': 'LSTM', 'CESM_MSE': 0.9679206138915823, 'CESM_Correlation': 0.38601159740558855, 'FOCI_MSE': 0.7606382768630643, 'FOCI_Correlation': 0.23634143009055833};{'Modelname': 'LSTM', 'CESM_MSE': 0.9906300726049134, 'CESM_Correlation': 0.36113578190375833, 'FOCI_MSE': 0.7930405092258913, 'FOCI_Correlation': 0.13241196268511954}
7;{'Modelname': 'LSTM', 'CESM_MSE': 0.6936469907774718, 'CESM_Correlation': 0.6318057310315465, 'FOCI_MSE': 0.5158107563512215, 'FOCI_Correlation': 0.5956646694057613};{'Modelname': 'LSTM', 'CESM_MSE': 0.9228632499469531, 'CESM_Correlation': 0.44428444988040394, 'FOCI_MSE': 0.7341645901589307, 'FOCI_Correlation': 0.3028320452077564};{'Modelname': 'LSTM', 'CESM_MSE': 0.9468504047351337, 'CESM_Correlation': 0.4160296088250275, 'FOCI_MSE': 0.7572854766469413, 'FOCI_Correlation': 0.24097671197768544};{'Modelname': 'LSTM', 'CESM_MSE': 1.0185059611457299, 'CESM_Correlation': 0.3325088828141585, 'FOCI_MSE': 0.7748804716477118, 'FOCI_Correlation': 0.1706504778812334}
8;{'Modelname': 'LSTM', 'CESM_MSE': 0.6857048908557828, 'CESM_Correlation': 0.6346697803514645, 'FOCI_MSE': 0.5074033191491125, 'FOCI_Correlation': 0.6024592084002232};{'Modelname': 'LSTM', 'CESM_MSE': 0.9100260361913463, 'CESM_Correlation': 0.4469209440639385, 'FOCI_MSE': 0.710622391335689, 'FOCI_Correlation': 0.3313934962198569};{'Modelname': 'LSTM', 'CESM_MSE': 0.9433925118887081, 'CESM_Correlation': 0.41469309448608777, 'FOCI_MSE': 0.7434024082953159, 'FOCI_Correlation': 0.27092273414441437};{'Modelname': 'LSTM', 'CESM_MSE': 1.0019351568333086, 'CESM_Correlation': 0.3401745968252199, 'FOCI_MSE': 0.7859856597921152, 'FOCI_Correlation': 0.13563007939160646}
9;{'Modelname': 'LSTM', 'CESM_MSE': 0.6783523702210423, 'CESM_Correlation': 0.6463992837955501, 'FOCI_MSE': 0.5016776326516461, 'FOCI_Correlation': 0.6079734104114023};{'Modelname': 'LSTM', 'CESM_MSE': 0.9168001366533656, 'CESM_Correlation': 0.43691505732967706, 'FOCI_MSE': 0.7200833914107635, 'FOCI_Correlation': 0.31725811691977124};{'Modelname': 'LSTM', 'CESM_MSE': 0.9446464660492688, 'CESM_Correlation': 0.4163969466072364, 'FOCI_MSE': 0.7418106596357329, 'FOCI_Correlation': 0.2632275991156189};{'Modelname': 'LSTM', 'CESM_MSE': 1.018487685683391, 'CESM_Correlation': 0.3228598463760955, 'FOCI_MSE': 0.7731446002149318, 'FOCI_Correlation': 0.18331053815748063}
10;{'Modelname': 'LSTM', 'CESM_MSE': 0.6751887547321117, 'CESM_Correlation': 0.6451553109470328, 'FOCI_MSE': 0.4991498925765488, 'FOCI_Correlation': 0.6113487468828076};{'Modelname': 'LSTM', 'CESM_MSE': 0.933751208942236, 'CESM_Correlation': 0.4285828620475898, 'FOCI_MSE': 0.715466792351504, 'FOCI_Correlation': 0.3202843410316202};{'Modelname': 'LSTM', 'CESM_MSE': 0.9653384170481961, 'CESM_Correlation': 0.3979741656079901, 'FOCI_MSE': 0.7486920813913991, 'FOCI_Correlation': 0.26554901177669343};{'Modelname': 'LSTM', 'CESM_MSE': 1.0248489370985505, 'CESM_Correlation': 0.32121222448277786, 'FOCI_MSE': 0.7822102600527713, 'FOCI_Correlation': 0.14395777520277972}
11;{'Modelname': 'LSTM', 'CESM_MSE': 0.6755477885265823, 'CESM_Correlation': 0.6427530889876749, 'FOCI_MSE': 0.48872193741692366, 'FOCI_Correlation': 0.6204319404509705};{'Modelname': 'LSTM', 'CESM_MSE': 0.9284681866171499, 'CESM_Correlation': 0.42627347208129307, 'FOCI_MSE': 0.7209006772481321, 'FOCI_Correlation': 0.3104981833962444};{'Modelname': 'LSTM', 'CESM_MSE': 0.9527260887229501, 'CESM_Correlation': 0.4038779709194664, 'FOCI_MSE': 0.7512720464747759, 'FOCI_Correlation': 0.24055509873837289};{'Modelname': 'LSTM', 'CESM_MSE': 1.0052751500892179, 'CESM_Correlation': 0.339765134592087, 'FOCI_MSE': 0.7729953041747268, 'FOCI_Correlation': 0.16377965462523564}
12;{'Modelname': 'LSTM', 'CESM_MSE': 0.6730854027634553, 'CESM_Correlation': 0.6419153680991094, 'FOCI_MSE': 0.5087841546179924, 'FOCI_Correlation': 0.6054963475494696};{'Modelname': 'LSTM', 'CESM_MSE': 0.9246454934077439, 'CESM_Correlation': 0.437931364643064, 'FOCI_MSE': 0.7138424333402082, 'FOCI_Correlation': 0.3206290022354971};{'Modelname': 'LSTM', 'CESM_MSE': 0.9645187317899201, 'CESM_Correlation': 0.3965522919972143, 'FOCI_MSE': 0.7545626658142629, 'FOCI_Correlation': 0.256108185998648};{'Modelname': 'LSTM', 'CESM_MSE': 1.0189960033556007, 'CESM_Correlation': 0.3231278269315221, 'FOCI_MSE': 0.768743569314296, 'FOCI_Correlation': 0.19595909986426674}
13;{'Modelname': 'LSTM', 'CESM_MSE': 0.6821056005177458, 'CESM_Correlation': 0.6400575355738619, 'FOCI_MSE': 0.504397483181035, 'FOCI_Correlation': 0.6070484001221866};{'Modelname': 'LSTM', 'CESM_MSE': 0.916825575566722, 'CESM_Correlation': 0.4554200433033349, 'FOCI_MSE': 0.7105344595973351, 'FOCI_Correlation': 0.32518340342228325};{'Modelname': 'LSTM', 'CESM_MSE': 0.9395351498389587, 'CESM_Correlation': 0.41694562706860633, 'FOCI_MSE': 0.7371932026377768, 'FOCI_Correlation': 0.27363195429216763};{'Modelname': 'LSTM', 'CESM_MSE': 1.0011789643356155, 'CESM_Correlation': 0.34826036541658756, 'FOCI_MSE': 0.7680016276585672, 'FOCI_Correlation': 0.18674035630564798}
14;{'Modelname': 'LSTM', 'CESM_MSE': 0.6504281908490661, 'CESM_Correlation': 0.6606105346748297, 'FOCI_MSE': 0.4863922339813147, 'FOCI_Correlation': 0.6261763122308649};{'Modelname': 'LSTM', 'CESM_MSE': 0.9321841127713247, 'CESM_Correlation': 0.42740741408082034, 'FOCI_MSE': 0.7120948659353056, 'FOCI_Correlation': 0.32414747964549506};{'Modelname': 'LSTM', 'CESM_MSE': 0.9518102095367177, 'CESM_Correlation': 0.4117927083469085, 'FOCI_MSE': 0.7401428209905592, 'FOCI_Correlation': 0.2680783768751791};{'Modelname': 'LSTM', 'CESM_MSE': 1.0047561008423118, 'CESM_Correlation': 0.34195766210234224, 'FOCI_MSE': 0.7800651301592042, 'FOCI_Correlation': 0.1832413087913434}
15;{'Modelname': 'LSTM', 'CESM_MSE': 0.6701502679403599, 'CESM_Correlation': 0.6456100708706518, 'FOCI_MSE': 0.49218459115798796, 'FOCI_Correlation': 0.6176370243329417};{'Modelname': 'LSTM', 'CESM_MSE': 0.927149451339647, 'CESM_Correlation': 0.434391636561549, 'FOCI_MSE': 0.7131670586914802, 'FOCI_Correlation': 0.32040090233658847};{'Modelname': 'LSTM', 'CESM_MSE': 0.9514057691442425, 'CESM_Correlation': 0.40592335824244447, 'FOCI_MSE': 0.7503007411497976, 'FOCI_Correlation': 0.24202713264195766};{'Modelname': 'LSTM', 'CESM_MSE': 0.9761473302524301, 'CESM_Correlation': 0.3841345025320338, 'FOCI_MSE': 0.7820040132831008, 'FOCI_Correlation': 0.1582980506551531}
16;{'Modelname': 'LSTM', 'CESM_MSE': 0.6744662731282766, 'CESM_Correlation': 0.6480856316993092, 'FOCI_MSE': 0.4879907629550178, 'FOCI_Correlation': 0.6228584994938906};{'Modelname': 'LSTM', 'CESM_MSE': 0.9200578600278643, 'CESM_Correlation': 0.44205943893868005, 'FOCI_MSE': 0.7246201989780097, 'FOCI_Correlation': 0.3137343176089767};{'Modelname': 'LSTM', 'CESM_MSE': 0.9636426483751444, 'CESM_Correlation': 0.3943651485613413, 'FOCI_MSE': 0.7374202070220456, 'FOCI_Correlation': 0.28518798483844915};{'Modelname': 'LSTM', 'CESM_MSE': 1.00831896488635, 'CESM_Correlation': 0.34320506308197113, 'FOCI_MSE': 0.7713420626273372, 'FOCI_Correlation': 0.18299649709429072}
17;{'Modelname': 'LSTM', 'CESM_MSE': 0.7027586282395958, 'CESM_Correlation': 0.6192775633943273, 'FOCI_MSE': 0.4827743086195743, 'FOCI_Correlation': 0.6286902856603769};{'Modelname': 'LSTM', 'CESM_MSE': 0.9344563605467822, 'CESM_Correlation': 0.4270071148255856, 'FOCI_MSE': 0.7190871316446509, 'FOCI_Correlation': 0.3145559510815208};{'Modelname': 'LSTM', 'CESM_MSE': 0.9521585754708235, 'CESM_Correlation': 0.409271893072555, 'FOCI_MSE': 0.7510242736933156, 'FOCI_Correlation': 0.24001688376906682};{'Modelname': 'LSTM', 'CESM_MSE': 1.0114283556143584, 'CESM_Correlation': 0.3408400852732739, 'FOCI_MSE': 0.7909967513011714, 'FOCI_Correlation': 0.10219344674931048}
18;{'Modelname': 'LSTM', 'CESM_MSE': 0.668863920548326, 'CESM_Correlation': 0.6497503446834545, 'FOCI_MSE': 0.49781404675438884, 'FOCI_Correlation': 0.6146437505759451};{'Modelname': 'LSTM', 'CESM_MSE': 0.9295128680263849, 'CESM_Correlation': 0.4319346718072316, 'FOCI_MSE': 0.7026894409221911, 'FOCI_Correlation': 0.34398372492737794};{'Modelname': 'LSTM', 'CESM_MSE': 0.9560069567079243, 'CESM_Correlation': 0.4033167892778423, 'FOCI_MSE': 0.757649141996257, 'FOCI_Correlation': 0.2249676349091026};{'Modelname': 'LSTM', 'CESM_MSE': 0.9995895480478932, 'CESM_Correlation': 0.3703247234597022, 'FOCI_MSE': 0.773521684072146, 'FOCI_Correlation': 0.18914193854171038}
19;{'Modelname': 'LSTM', 'CESM_MSE': 0.6720091953642202, 'CESM_Correlation': 0.6482720560190022, 'FOCI_MSE': 0.5092781276598335, 'FOCI_Correlation': 0.600560798414442};{'Modelname': 'LSTM', 'CESM_MSE': 0.9211892888500709, 'CESM_Correlation': 0.44156980492220393, 'FOCI_MSE': 0.723344451774119, 'FOCI_Correlation': 0.30964818037465613};{'Modelname': 'LSTM', 'CESM_MSE': 0.9583969318608815, 'CESM_Correlation': 0.4081214128859989, 'FOCI_MSE': 0.7439939054715241, 'FOCI_Correlation': 0.2622983075298006};{'Modelname': 'LSTM', 'CESM_MSE': 1.0172983812305585, 'CESM_Correlation': 0.3430645382578074, 'FOCI_MSE': 0.7737305807753309, 'FOCI_Correlation': 0.17557098159219833}
20;{'Modelname': 'LSTM', 'CESM_MSE': 0.6919108054597223, 'CESM_Correlation': 0.6296839913595641, 'FOCI_MSE': 0.5014876842399857, 'FOCI_Correlation': 0.6126017212703055};{'Modelname': 'LSTM', 'CESM_MSE': 0.9329088873346034, 'CESM_Correlation': 0.440017437963692, 'FOCI_MSE': 0.7201642124096927, 'FOCI_Correlation': 0.3236146763508237};{'Modelname': 'LSTM', 'CESM_MSE': 0.9726075556282753, 'CESM_Correlation': 0.3969842107679447, 'FOCI_MSE': 0.7477381968335524, 'FOCI_Correlation': 0.24772063495864063};{'Modelname': 'LSTM', 'CESM_MSE': 1.0041976422325665, 'CESM_Correlation': 0.354381711072689, 'FOCI_MSE': 0.7838675228813374, 'FOCI_Correlation': 0.1589541940747974}
21;{'Modelname': 'LSTM', 'CESM_MSE': 0.6792539859243584, 'CESM_Correlation': 0.646722562063089, 'FOCI_MSE': 0.5077718055934042, 'FOCI_Correlation': 0.6080835925400502};{'Modelname': 'LSTM', 'CESM_MSE': 0.9370301687969591, 'CESM_Correlation': 0.4290963401583527, 'FOCI_MSE': 0.7158290889638295, 'FOCI_Correlation': 0.3242117998173617};{'Modelname': 'LSTM', 'CESM_MSE': 0.9535281356301878, 'CESM_Correlation': 0.4081226819296686, 'FOCI_MSE': 0.750901341035353, 'FOCI_Correlation': 0.24319995536707484};{'Modelname': 'LSTM', 'CESM_MSE': 1.0292836922261233, 'CESM_Correlation': 0.31354205131007284, 'FOCI_MSE': 0.7777364833892545, 'FOCI_Correlation': 0.16229371143845112}
