;Modelname;CESM_MSE;CESM_Correlation;FOCI_MSE;FOCI_Correlation
Lead_time: 0 seq_length: 1;LSTM;0.7254376565464141;0.6032603155895668;0.5272022363892572;0.5858821964857194
Lead_time: 0 seq_length: 10;LSTM;0.6955188933967132;0.6289652860742704;0.4984382280825059;0.6102492670734417
Lead_time: 0 seq_length: 11;LSTM;0.7030570529592522;0.6218091150403362;0.4908679439265668;0.6201449150345062
Lead_time: 0 seq_length: 12;LSTM;0.7230496841504229;0.6131744472795654;0.49932412767665946;0.6095251275404904
Lead_time: 0 seq_length: 13;LSTM;0.7057394792762393;0.6185425589679544;0.5183268628321255;0.6002341632783902
Lead_time: 0 seq_length: 14;LSTM;0.6998576373562959;0.6296955003899463;0.5124245145402011;0.5971001395376309
Lead_time: 0 seq_length: 15;LSTM;0.6768821863891639;0.6365531109790851;0.4870152193042462;0.6262219112325444
Lead_time: 0 seq_length: 16;LSTM;0.7184048959912338;0.6139146421841107;0.5156143802147307;0.5974755299322029
Lead_time: 0 seq_length: 17;LSTM;0.7059261981551795;0.6171375365473039;0.5113369930692298;0.5999604088993064
Lead_time: 0 seq_length: 18;LSTM;0.7230700615058588;0.612612577910227;0.5104097452071602;0.6031676614220838
Lead_time: 0 seq_length: 19;LSTM;0.7177047937540553;0.6156249073980062;0.5061731825152636;0.6056736910148731
Lead_time: 0 seq_length: 2;LSTM;0.6959792965994928;0.6230495871052787;0.512416693782036;0.6022773631466848
Lead_time: 0 seq_length: 20;LSTM;0.7288199480844929;0.6044805929150627;0.4868427826170171;0.6250813802699738
Lead_time: 0 seq_length: 21;LSTM;0.7245704644491847;0.6146817443359082;0.5026504281084656;0.610978872794812
Lead_time: 0 seq_length: 22;LSTM;0.7163633070100852;0.6284300609891265;0.48445015684772186;0.6240475819955632
Lead_time: 0 seq_length: 23;LSTM;0.6940631921236896;0.6239503994030996;0.4821024516331974;0.6273718073311495
Lead_time: 0 seq_length: 24;LSTM;0.7098818405272896;0.6168572674705596;0.5002843835720541;0.6088953569683203
Lead_time: 0 seq_length: 3;LSTM;0.6958293579672473;0.625431756057217;0.5112049100776282;0.6030312944274415
Lead_time: 0 seq_length: 4;LSTM;0.698585389094007;0.6191965074978558;0.48096352877349074;0.6345038163691997
Lead_time: 0 seq_length: 5;LSTM;0.7003826984773324;0.6216739871507878;0.5071558851695087;0.6102636815734948
Lead_time: 0 seq_length: 6;LSTM;0.7233005483601023;0.60273404401893;0.5000203257739316;0.6165289961437052
Lead_time: 0 seq_length: 7;LSTM;0.7088370432313549;0.6167995814552435;0.49689231147962487;0.6146431679855479
Lead_time: 0 seq_length: 8;LSTM;0.704538367552497;0.6157047002182504;0.4982157131019792;0.6131359097917263
Lead_time: 0 seq_length: 9;LSTM;0.6986836037714639;0.6242688733935795;0.5073119516037591;0.6015689800861451
Lead_time: 1 seq_length: 1;LSTM;0.9531305176248203;0.400472660056489;0.7374259473998912;0.2839331318901653
Lead_time: 1 seq_length: 10;LSTM;0.9442346037398341;0.41138055644586813;0.7194756278097841;0.31141612688243986
Lead_time: 1 seq_length: 11;LSTM;0.9332278083574462;0.42219057566337703;0.7320725333003476;0.2867908614346602
Lead_time: 1 seq_length: 12;LSTM;0.9531398812847521;0.4085949481231225;0.7258551632288692;0.2989121032811435
Lead_time: 1 seq_length: 13;LSTM;0.9469066581576951;0.40950529921115275;0.7275244754974178;0.2902933775967724
Lead_time: 1 seq_length: 14;LSTM;0.9620828813071518;0.4101222074696804;0.7372442778112249;0.28392918844689485
Lead_time: 1 seq_length: 15;LSTM;0.9460732863281768;0.41573332045996203;0.7306555205050875;0.2907172326782407
Lead_time: 1 seq_length: 16;LSTM;0.9671131165645942;0.39243113171090044;0.7265053298133708;0.3007735417616877
Lead_time: 1 seq_length: 17;LSTM;0.9426509125781749;0.42479555695234983;0.7282451674503884;0.2961602145457711
Lead_time: 1 seq_length: 18;LSTM;0.9503535023272354;0.41036906207569174;0.7270528458845041;0.30160435480744147
Lead_time: 1 seq_length: 19;LSTM;0.9543862107508052;0.411513471904172;0.7191123576609014;0.31273103850998496
Lead_time: 1 seq_length: 2;LSTM;0.9465648441137281;0.4034547062920306;0.73491790744347;0.2932079475533756
Lead_time: 1 seq_length: 20;LSTM;0.9438569261133848;0.42409648803887906;0.7308385696911136;0.3037189578657133
Lead_time: 1 seq_length: 21;LSTM;0.9459002415864866;0.42248794366750514;0.7378484411551318;0.28979643499502966
Lead_time: 1 seq_length: 22;LSTM;0.9536927614292325;0.4114005456606816;0.7400595649668524;0.2724467684193911
